Type,1,2,3,4,5
BLFS,0.0859375,0.140625,0.11023622047244094,0.08661417322834646,0.10236220472440945
ALEXNET,0.1015625,0.171875,0.15748031496062992,0.11811023622047244,0.12598425196850394
TAGS,0.0859375,0.0625,0.031496062992125984,0.03937007874015748,0.10236220472440945
COMBINED MEAN,0.0859375,0.078125,0.10236220472440945,0.10236220472440945,0.09448818897637795
